id,category,question,sql_formula,excel_formula,calculation_steps,answer_format,correct_answer,related_tables,related_columns,created_at
Easy_11,Easy,What is the total downtime in minutes for Machine-M1 across all production lines this month?,"SELECT SUM(Downtime_Minutes) FROM production_logs WHERE Line_Machine LIKE '%Machine-M1%' AND Date >= DATE('now', 'start of month')","=SUMIFS(production_logs[Downtime_Minutes], production_logs[Line_Machine], ""*Machine-M1*"", production_logs[Date], "">=""&EOMONTH(TODAY(),-1)+1)",Filter production_logs for Line_Machine containing 'Machine-M1' | Filter for dates this month | Sum the Downtime_Minutes column,integer (total minutes),9846,production_logs,"Line_Machine, Downtime_Minutes, Date",2025-11-28T12:32:11.167454
Easy_12,Easy,How many breakdown maintenance events occurred in the last quarter?,"SELECT COUNT(*) FROM maintenance_logs WHERE Maintenance_Type = 'Breakdown' AND Breakdown_Date >= DATE('now', '-3 months')","=COUNTIFS(maintenance_logs[Maintenance_Type],""Breakdown"",maintenance_logs[Breakdown_Date],"">=""&TODAY()-90)",Filter maintenance_logs for Maintenance_Type = 'Breakdown' | Filter for dates in the last 3 months | Count the number of rows,integer (number of events),46,maintenance_logs,"Maintenance_Type, Breakdown_Date",2025-11-28T12:32:11.171968
Easy_13,Easy,What is the average 'Actual Quantity' produced per shift?,"SELECT Shift, AVG(Actual_Qty) FROM production_logs GROUP BY Shift","=AVERAGEIF(production_logs[Shift],""Morning"",production_logs[Actual_Qty]) + AVERAGEIF(production_logs[Shift],""Afternoon"",production_logs[Actual_Qty]) + AVERAGEIF(production_logs[Shift],""Night"",production_logs[Actual_Qty])",Group production_logs by Shift | Calculate the average Actual_Qty for each shift,"table (Shift, Average Quantity)","{'Afternoon': 281.10266159695817, 'Morning': 266.1291512915129, 'Night': 239.2674418604651}",production_logs,"Shift, Actual_Qty",2025-11-28T12:32:11.184845
Easy_14,Easy,What is the total wastage in kilograms for 'Steel Sheet 101' this year?,"SELECT SUM(Wastage_Kg) FROM inventory_logs WHERE Material_Name LIKE '%Steel Sheet 101%' AND Date BETWEEN DATE('now', 'start of year') AND DATE('now', 'localtime')","=SUMIFS(inventory_logs[Wastage_Kg], inventory_logs[Material_Name], ""*Steel Sheet 101*"", inventory_logs[Date], "">=""&DATE(YEAR(TODAY()),1,1), inventory_logs[Date], ""<=""&TODAY())",Filter inventory_logs for Material_Name containing 'Steel Sheet 101' | Filter for dates this year | Sum the Wastage_Kg column,decimal (total kilograms),5869.00,inventory_logs,"Material_Name, Wastage_Kg, Date",2025-11-28T12:32:11.186656
Easy_15,Easy,Which inspector had the highest number of reworked items?,SELECT Inspector_Name FROM quality_control GROUP BY Inspector_Name ORDER BY SUM(Rework_Count) DESC LIMIT 1,"LARGE(SUMIF(quality_control[Inspector_Name],UNIQUE(quality_control[Inspector_Name]),quality_control[Rework_Count]),1)",Group quality_control by Inspector_Name | Sum the Rework_Count for each inspector | Order by the sum in descending order | Select the first Inspector_Name,text (inspector name),"{'Amit Patel': 333, 'Priya Sharma': 333, 'Rajesh Kumar': 306}",quality_control,"Inspector_Name, Rework_Count",2025-11-28T12:32:11.186946
Easy_16,Easy,What is the average cost of repair maintenance?,SELECT AVG(Cost_Rupees) FROM maintenance_logs WHERE Maintenance_Type = 'Repair',"=AVERAGEIF(maintenance_logs[Maintenance_Type],""Repair"",maintenance_logs[Cost_Rupees])",Filter maintenance_logs for Maintenance_Type = 'Repair' | Calculate the average Cost_Rupees,decimal (average cost in Rupees),8545.45,maintenance_logs,"Maintenance_Type, Cost_Rupees",2025-11-28T12:32:11.187575
Easy_17,Easy,What is the total quantity of 'Component-X' that failed inspection last month?,"SELECT SUM(Failed_Qty) FROM quality_control WHERE Product = 'Component-X' AND Inspection_Date >= DATE('now', 'start of month', '-1 month') AND Inspection_Date < DATE('now', 'start of month')","=SUMIFS(quality_control[Failed_Qty], quality_control[Product], ""Component-X"", quality_control[Inspection_Date], "">=""&EOMONTH(TODAY(),-2)+1, quality_control[Inspection_Date], ""<=""&EOMONTH(TODAY(),-1))",Filter quality_control for Product = 'Component-X' | Filter for dates last month | Sum the Failed_Qty column,integer (total quantity),384,quality_control,"Product, Failed_Qty, Inspection_Date",2025-11-28T12:32:11.188498
Easy_18,Easy,How many preventive maintenance activities were performed on Machine-M2 this year?,"SELECT COUNT(*) FROM maintenance_logs WHERE Machine = 'Machine-M2' AND Maintenance_Type = 'Preventive' AND Maintenance_Date BETWEEN DATE('now', 'start of year') AND DATE('now', 'localtime')","=COUNTIFS(maintenance_logs[Machine],""Machine-M2"",maintenance_logs[Maintenance_Type],""Preventive"",maintenance_logs[Maintenance_Date],"">=""&DATE(YEAR(TODAY()),1,1),maintenance_logs[Maintenance_Date],""<=""&TODAY())",Filter maintenance_logs for Machine = 'Machine-M2' | Filter for Maintenance_Type = 'Preventive' | Filter for dates this year | Count the number of rows,integer (number of activities),15,maintenance_logs,"Machine, Maintenance_Type, Maintenance_Date",2025-11-28T12:32:11.189041
Easy_19,Easy,"What is the minimum opening stock in Kg for PVC Granules, Extrusion Grade?","SELECT MIN(Opening_Stock_Kg) FROM inventory_logs WHERE Material_Name = 'PVC Granules, Extrusion Grade'","=MINIFS(inventory_logs[Opening_Stock_Kg], inventory_logs[Material_Name], ""PVC Granules, Extrusion Grade"")","Filter inventory_logs for Material_Name = 'PVC Granules, Extrusion Grade' | Find the minimum value in the Opening_Stock_Kg column",integer (minimum kilograms),2000,inventory_logs,"Material_Name, Opening_Stock_Kg",2025-11-28T12:32:11.189949
Easy_20,Easy,What is the average downtime hours for breakdowns caused by 'Motor overheating and failure to start'?,SELECT AVG(Downtime_Hours) FROM maintenance_logs WHERE Issue_Description = 'Motor overheating and failure to start' AND Maintenance_Type = 'Breakdown',"=AVERAGEIFS(maintenance_logs[Downtime_Hours],maintenance_logs[Issue_Description],""Motor overheating and failure to start"", maintenance_logs[Maintenance_Type], ""Breakdown"")",Filter maintenance_logs for Issue_Description = 'Motor overheating and failure to start' | Filter maintenance_logs for Maintenance_Type = 'Breakdown' | Calculate the average Downtime_Hours,decimal (average hours),6.50,maintenance_logs,"Issue_Description, Downtime_Hours, Maintenance_Type",2025-11-28T12:32:11.190491
Easy_21,Easy,What is the total downtime in minutes for Machine-M1 in the last month?,"SELECT SUM(Downtime_Minutes) FROM production_logs WHERE Line_Machine LIKE '%Machine-M1%' AND Date >= DATE('now', '-1 month')","=SUMIFS(production_logs[Downtime_Minutes], production_logs[Line_Machine], ""*Machine-M1*"", production_logs[Date], "">=""&TODAY()-30)",Filter production_logs for Line_Machine containing 'Machine-M1' | Filter for dates within the last month | Sum the Downtime_Minutes column,integer (total minutes),9846,production_logs,"Line_Machine, Downtime_Minutes, Date",2025-11-28T12:32:24.328525
Easy_22,Easy,What is the average rework count for Component-X?,SELECT AVG(Rework_Count) FROM quality_control WHERE Product = 'Component-X',"=AVERAGEIF(quality_control[Product], ""Component-X"", quality_control[Rework_Count])",Filter quality_control for Product = 'Component-X' | Calculate the average of the Rework_Count column,float (average rework count),1.58,quality_control,"Product, Rework_Count",2025-11-28T12:32:24.332763
Easy_23,Easy,How much of Steel Sheet 101 - 2mm was consumed in July 2026?,SELECT SUM(Consumption_Kg) FROM inventory_logs WHERE Material_Name = 'Steel Sheet 101 - 2mm' AND Date BETWEEN '2026-07-01' AND '2026-07-31',"=SUMIFS(inventory_logs[Consumption_Kg], inventory_logs[Material_Name], ""Steel Sheet 101 - 2mm"", inventory_logs[Date], "">=""&DATE(2026,7,1), inventory_logs[Date], ""<=""&DATE(2026,7,31))","Filter inventory_logs for Material_Name = 'Steel Sheet 101 - 2mm' | Filter for dates between July 1, 2026, and July 31, 2026 | Sum the Consumption_Kg column",integer (total kilograms),1500,inventory_logs,"Material_Name, Consumption_Kg, Date",2025-11-28T12:32:24.336694
Easy_24,Easy,What is the minimum unit cost of Plastic-PVC?,SELECT MIN(Unit_Cost_Rupees) FROM inventory_logs WHERE Material_Code = 'Plastic-PVC',"=MINIFS(inventory_logs[Unit_Cost_Rupees], inventory_logs[Material_Code], ""Plastic-PVC"")",Filter inventory_logs for Material_Code = 'Plastic-PVC' | Find the minimum value in the Unit_Cost_Rupees column,integer (minimum cost in Rupees),75,inventory_logs,"Material_Code, Unit_Cost_Rupees",2025-11-28T12:32:24.337472
Easy_25,Easy,How many breakdown maintenance logs are there for Machine-M2?,SELECT COUNT(*) FROM maintenance_logs WHERE Machine = 'Machine-M2' AND Maintenance_Type = 'Breakdown',"=COUNTIFS(maintenance_logs[Machine], ""Machine-M2"", maintenance_logs[Maintenance_Type], ""Breakdown"")",Filter maintenance_logs for Machine = 'Machine-M2' | Filter for Maintenance_Type = 'Breakdown' | Count the number of rows,integer (number of logs),8,maintenance_logs,"Machine, Maintenance_Type",2025-11-28T12:32:24.338053
Easy_26,Easy,What is the average target quantity for all products?,SELECT AVG(Target_Qty) FROM production_logs,=AVERAGE(production_logs[Target_Qty]),Calculate the average of the Target_Qty column in production_logs,float (average quantity),315.46,production_logs,Target_Qty,2025-11-28T12:32:24.339723
Easy_27,Easy,How many inspections were performed by Inspector_Name in October 2026?,SELECT COUNT(*) FROM quality_control WHERE Inspection_Date BETWEEN '2026-10-01' AND '2026-10-31',"=COUNTIFS(quality_control[Inspection_Date],"">=""&DATE(2026,10,1), quality_control[Inspection_Date],""<=""&DATE(2026,10,31))","Filter quality_control for dates between October 1, 2026, and October 31, 2026 | Count the number of rows",integer (number of inspections),608,quality_control,Inspection_Date,2025-11-28T12:32:24.339803
Easy_28,Easy,What is the total cost of parts replaced for Machine-M3?,SELECT SUM(Cost_Rupees) FROM maintenance_logs WHERE Machine = 'Machine-M3',"=SUMIF(maintenance_logs[Machine], ""Machine-M3"", maintenance_logs[Cost_Rupees])",Filter maintenance_logs for Machine = 'Machine-M3' | Sum the Cost_Rupees column,integer (total cost in Rupees),183230,maintenance_logs,"Machine, Cost_Rupees",2025-11-28T12:32:24.339876
Easy_29,Easy,What is the maximum downtime hours recorded for any breakdown?,SELECT MAX(Downtime_Hours) FROM maintenance_logs WHERE Maintenance_Type = 'Breakdown',"=MAXIFS(maintenance_logs[Downtime_Hours], maintenance_logs[Maintenance_Type], ""Breakdown"")",Filter maintenance_logs for Maintenance_Type = 'Breakdown' | Find the maximum value in the Downtime_Hours column,float (maximum hours),8.00,maintenance_logs,"Maintenance_Type, Downtime_Hours",2025-11-28T12:32:24.340511
Easy_30,Easy,How much total waste was recorded in 2025?,SELECT SUM(Wastage_Kg) FROM inventory_logs WHERE Date BETWEEN '2025-01-01' AND '2025-12-31',"=SUMIFS(inventory_logs[Wastage_Kg], inventory_logs[Date],"">=""&DATE(2025,1,1),inventory_logs[Date],""<=""&DATE(2025,12,31))",Filter inventory_logs for the year 2025 | Sum the Wastage_Kg Column,Integer (total kilograms),5869,inventory_logs,"Date, Wastage_Kg",2025-11-28T12:32:24.341118
Easy_31,Easy,What is the total cost of maintenance performed by each technician?,"SELECT Technician, SUM(Cost_Rupees) FROM maintenance_logs GROUP BY Technician","=SUMIF(maintenance_logs[Technician], ""[TECHNICIAN_NAME]"", maintenance_logs[Cost_Rupees])",Group maintenance_logs by Technician | Sum the Cost_Rupees for each Technician,table with Technician and total maintenance cost (Rupees),"{'Priya Sharma': 435270, 'Rajesh Kumar': 775460}",maintenance_logs,"Technician, Cost_Rupees",2025-11-28T12:32:33.449936
Easy_32,Easy,What is the percentage of failed quantity for each product?,"SELECT Product, SUM(Failed_Qty) * 100.0 / SUM(Inspected_Qty) AS Failure_Percentage FROM quality_control GROUP BY Product","=(SUMIF(quality_control[Product], ""[PRODUCT_NAME]"", quality_control[Failed_Qty]) / SUMIF(quality_control[Product], ""[PRODUCT_NAME]"", quality_control[Inspected_Qty])) * 100","Group quality_control by Product | Calculate the sum of Failed_Qty for each product. | Calculate the sum of Inspected_Qty for each product | Divide the sum of Failed_Qty by the sum of Inspected_Qty, and multiply by 100",table with Product and failure percentage,"{'Assembly-Z': 419, 'Component-X': 384, 'Component-Y': 402, 'Widget-A': 489, 'Widget-B': 431, 'Widget-C': 341}",quality_control,"Product, Failed_Qty, Inspected_Qty",2025-11-28T12:32:33.452099
Easy_33,Easy,What is the total wastage in Kg for each material?,"SELECT Material_Name, SUM(Wastage_Kg) FROM inventory_logs GROUP BY Material_Name","=SUMIF(inventory_logs[Material_Name], ""[MATERIAL_NAME]"", inventory_logs[Wastage_Kg])",Group inventory_logs by Material_Name | Sum the Wastage_Kg for each Material_Name,table with Material_Name and total wastage (Kg),"{'Aluminum Alloy Ingots': 90, 'Aluminum Ingot': 575, 'Aluminum Ingot (Alloy 6061)': 12, 'Aluminum Ingots': 288, 'Copper Wire': 571, 'Copper Wire (1mm)': 20, 'PVC Granules': 1219, 'PVC Granules (Industrial Grade)': 90, 'PVC Granules - Grey': 25, 'PVC Granules, Extrusion Grade': 40, 'Rubber Compund': 25, 'Steel Sheet 101': 2036, 'Steel Sheet 101 (Galvanized)': 45, 'Steel Sheet 101 - 2mm': 50, 'Steel Sheet 101, Grade A': 25, 'Synthetic Rubber': 221, 'Synthetic Rubber Blend': 135, 'Synthetic Rubber Compound': 200, 'Synthetic Rubber Roll': 192, 'Synthetic Rubber, High Tensile': 10}",inventory_logs,"Material_Name, Wastage_Kg",2025-11-28T12:32:33.452654
Easy_34,Easy,How many breakdowns occurred on each machine?,"SELECT Machine, COUNT(*) FROM maintenance_logs WHERE Maintenance_Type = 'Breakdown' GROUP BY Machine","=COUNTIF(maintenance_logs[Machine], ""[MACHINE_NAME]"", maintenance_logs[Maintenance_Type], ""Breakdown"")",Filter maintenance_logs for Maintenance_Type = 'Breakdown' | Group the filtered data by Machine | Count the number of breakdowns for each machine.,table with Machine and breakdown count,"{'Machine-M1': 18, 'Machine-M2': 8, 'Machine-M3': 6, 'Machine-M4': 8, 'Machine-M5': 6}",maintenance_logs,"Machine, Maintenance_Type",2025-11-28T12:32:33.453169
Medium_1,Medium,What is the average downtime (in minutes) per shift for Line-1/Machine-M1?,"SELECT Shift, AVG(Downtime_Minutes) FROM production_logs WHERE Line_Machine = 'Line-1/Machine-M1' GROUP BY Shift","=AVERAGEIF(production_logs[Line_Machine], ""Line-1/Machine-M1"", production_logs[Downtime_Minutes])",Filter the production_logs table for Line_Machine = 'Line-1/Machine-M1' | Group by Shift | Calculate the average Downtime_Minutes for each shift.,"Shift and average downtime in minutes (e.g., Morning: 10.5)",{'Morning': 18.366906474820144},production_logs,"Line_Machine, Downtime_Minutes, Shift",2025-11-28T12:32:49.027208
Medium_2,Medium,What is the total cost of maintenance for Machine-M2 in 2026?,"SELECT SUM(Cost_Rupees) FROM maintenance_logs WHERE Machine = 'Machine-M2' AND strftime('%Y', Maintenance_Date) = '2026'","=SUMIFS(maintenance_logs[Cost_Rupees], maintenance_logs[Machine], ""Machine-M2"", maintenance_logs[Maintenance_Date], "">=2026-01-01"", maintenance_logs[Maintenance_Date], ""<=2026-12-31"")",Filter maintenance_logs for Machine = 'Machine-M2' | Filter for dates in 2026 | Sum the Cost_Rupees column.,integer (total cost in Rupees),200700,maintenance_logs,"Machine, Cost_Rupees, Maintenance_Date",2025-11-28T12:32:49.032627
Medium_3,Medium,What is the percentage of failed quantity for each product compared to the inspected quantity?,"SELECT Product, (SUM(Failed_Qty) * 100.0 / SUM(Inspected_Qty)) AS Failure_Percentage FROM quality_control GROUP BY Product",=SUM(quality_control[Failed_Qty])/SUM(quality_control[Inspected_Qty]),Group the quality_control table by Product. | Calculate the sum of Failed_Qty and Inspected_Qty for each product. | Calculate the failure percentage for each product using the formula: (SUM(Failed_Qty) * 100.0 / SUM(Inspected_Qty)).,"Product and percentage (e.g., Widget-A: 5.2%)","{'Assembly-Z': 419, 'Component-X': 384, 'Component-Y': 402, 'Widget-A': 489, 'Widget-B': 431, 'Widget-C': 341}",quality_control,"Product, Failed_Qty, Inspected_Qty",2025-11-28T12:32:49.033756
Medium_4,Medium,Which technician performed the most breakdown maintenance?,"SELECT Technician, COUNT(*) AS Breakdown_Count FROM maintenance_logs WHERE Maintenance_Type = 'Breakdown' GROUP BY Technician ORDER BY Breakdown_Count DESC LIMIT 1",N/A,Filter maintenance_logs for Maintenance_Type = 'Breakdown' | Group by Technician | Count the number of breakdowns for each technician. | Order by Breakdown_Count in descending order. | Select the top row.,"Technician name (e.g., John Doe)","{'Priya Sharma': 19, 'Rajesh Kumar': 27}",maintenance_logs,"Technician, Maintenance_Type",2025-11-28T12:32:49.034141
Medium_5,Medium,What is the average wastage (in Kg) of each material type per month in 2026?,"SELECT Material_Name, AVG(Wastage_Kg) FROM inventory_logs WHERE strftime('%Y', Date) = '2026' GROUP BY Material_Name, strftime('%m', Date)",N/A,Filter inventory_logs for dates in 2026. | Group by Material_Name and month (extracted from Date). | Calculate the average Wastage_Kg for each material type per month.,"Material Name and average wastage in Kg (e.g., Steel Sheet 101: 12.5 Kg)",Unable to parse GROUP BY query,inventory_logs,"Material_Name, Wastage_Kg, Date",2025-11-28T12:32:49.034985
Medium_6,Medium,How does the actual quantity produced compare to the target quantity for each product on Line-2/Machine-M2?,"SELECT Product, AVG(Actual_Qty) AS Avg_Actual, AVG(Target_Qty) AS Avg_Target FROM production_logs WHERE Line_Machine = 'Line-2/Machine-M2' GROUP BY Product",N/A,Filter production_logs for Line_Machine = 'Line-2/Machine-M2'. | Group by Product. | Calculate the average Actual_Qty and Target_Qty for each product.,"Product, Average Actual Quantity, Average Target Quantity (e.g., Widget-A: Actual=250, Target=300)","{'Assembly-Z': 137.625, 'Component-X': 327.1666666666667, 'Component-Y': 261.45, 'Widget-A': 270.0, 'Widget-B': 344.46875, 'Widget-C': 348.57142857142856}",production_logs,"Product, Actual_Qty, Target_Qty, Line_Machine",2025-11-28T12:32:49.035081
Medium_7,Medium,What are the top 3 most frequent defect types observed during quality control?,"SELECT Defect_Type, COUNT(*) AS Defect_Count FROM quality_control GROUP BY Defect_Type ORDER BY Defect_Count DESC LIMIT 3",N/A,Group quality_control by Defect_Type. | Count the occurrences of each defect type. | Order by Defect_Count in descending order. | Select the top 3 rows.,"Defect type and count (e.g., Cracks: 50)","{'Assembly Error': 99, 'Dimensional': 139, 'Material Defect': 92, 'Packaging Issue': 57, 'Surface Finish': 140}",quality_control,Defect_Type,2025-11-28T12:32:49.035672
Medium_8,Medium,What is the average rework count for each line?,"SELECT Line, AVG(Rework_Count) FROM quality_control GROUP BY Line","AVERAGEIFS(quality_control[Rework_Count], quality_control[Line],Line)",Group the quality_control table by Line. | Calculate the average Rework_Count for each line.,"Line and average rework count (e.g., Line-1: 2.1)","{'Line-1': 1.560747663551402, 'Line-2': 1.5560747663551402, 'Line-3': 1.6944444444444444}",quality_control,"Line, Rework_Count",2025-11-28T12:32:49.035942
Medium_9,Medium,Which material supplier has the lowest average unit cost?,"SELECT Supplier, AVG(Unit_Cost_Rupees) AS Avg_Cost FROM inventory_logs GROUP BY Supplier ORDER BY Avg_Cost ASC LIMIT 1",N/A,Group inventory_logs by Supplier. | Calculate the average Unit_Cost_Rupees for each supplier. | Order by Avg_Cost in ascending order. | Select the top row.,"Supplier name (e.g., Supplier-B)","{'Local Vendor': 186.27073170731705, 'Supplier-A': 309.69520547945206, 'Supplier-B': 91.0943820224719, 'Supplier-C': 271.1277777777778}",inventory_logs,"Supplier, Unit_Cost_Rupees",2025-11-28T12:32:49.036203
Medium_10,Medium,How many times has the 'Motor overheating and failure to start' issue resulted in downtime greater than 4 hours?,SELECT COUNT(*) FROM maintenance_logs WHERE Issue_Description = 'Motor overheating and failure to start' AND Downtime_Hours > 4,"=COUNTIFS(maintenance_logs[Issue_Description], ""Motor overheating and failure to start"", maintenance_logs[Downtime_Hours],"">4"")",Filter maintenance_logs for Issue_Description = 'Motor overheating and failure to start'. | Filter for Downtime_Hours greater than 4. | Count the number of rows.,integer (number of occurrences),1,maintenance_logs,"Issue_Description, Downtime_Hours",2025-11-28T12:32:49.036464
Medium_11,Medium,What is the average downtime in minutes per shift for Line-1/Machine-M1?,"SELECT Shift, AVG(Downtime_Minutes) FROM production_logs WHERE Line_Machine = 'Line-1/Machine-M1' GROUP BY Shift","=AVERAGEIF(production_logs[Line_Machine], ""Line-1/Machine-M1"", production_logs[Downtime_Minutes])",Filter the production_logs table for Line_Machine = 'Line-1/Machine-M1' | Group the filtered data by Shift | Calculate the average Downtime_Minutes for each shift group.,A table with Shift and average downtime in minutes,{'Morning': 18.366906474820144},production_logs,"Line_Machine, Downtime_Minutes, Shift",2025-11-28T12:33:05.694561
