Maintenance_Date,Machine,Maintenance_Type,Breakdown_Date,Downtime_Hours,Issue_Description,Technician,Parts_Replaced,Cost_Rupees
2024-06-02,Machine-M3,Routine Check,,1.0,General inspection and lubrication.,Priya Sharma,,750
2024-06-03,Machine-M2,Preventive,,1.5,Inspection of conveyor belt and rollers.,Rajesh Kumar,,1200
2024-06-04,Machine-M4,Routine Check,,0.75,Checking of hydraulic system pressure.,Priya Sharma,,600
2024-06-05,Machine-M5,Preventive,,1.0,Cleaning and adjusting sensors.,Rajesh Kumar,,900
2024-06-06,Machine-M1,Preventive,,2.0,Checking alignment and vibration analysis.,Priya Sharma,,1500
2024-06-07,Machine-M2,Breakdown,2024-06-07,5.0,Motor overheating due to faulty cooling fan.,Rajesh Kumar,"Fan-401, Relay-12",18000
2024-06-08,Machine-M3,Preventive,,0.5,Filter replacement and general cleaning.,Priya Sharma,Filter-A1,800
2024-06-09,Machine-M4,Preventive,,1.0,Checking and tightening electrical connections.,Rajesh Kumar,,1000
2024-06-10,Machine-M5,Breakdown,2024-06-10,4.0,Conveyor belt torn.,Priya Sharma,Belt-C4,15000
2024-06-11,Machine-M1,Routine Check,,1.0,Checking oil levels and lubrication points.,Rajesh Kumar,,500
2024-06-12,Machine-M2,Preventive,,1.0,Checking motor windings and insulation.,Priya Sharma,,1100
2024-06-13,Machine-M3,Routine Check,,0.5,Visual inspection for leaks and damage.,Rajesh Kumar,,650
2024-06-14,Machine-M4,Breakdown,2024-06-14,6.0,Hydraulic pump failure.,Priya Sharma,"Pump-H2, Seal-H3",25000
2024-06-15,Machine-M5,Preventive,,1.5,Sensor calibration and cleaning.,Rajesh Kumar,,1300
2024-06-16,Machine-M1,Breakdown,2024-06-16,8.0,Control system malfunction. Requires debugging and software update.,Priya Sharma,"Controller-V2, Cable-A4",45000
2024-06-17,Machine-M2,Routine Check,,0.5,Checking safety guards and emergency stops.,Rajesh Kumar,,550
2024-06-18,Machine-M3,Routine Check,,0.75,Checking all wiring and connections.,Priya Sharma,,700
2024-06-19,Machine-M4,Preventive,,1.75,Hydraulic oil change and filter replacement.,Rajesh Kumar,"Filter-H1, Oil-20L",2800
2024-06-20,Machine-M5,Routine Check,,1.25,Checking drive system alignment.,Priya Sharma,,800
2024-06-17,Machine-M1,Preventive,,1.5,Bearing lubrication and alignment check,Rajesh Kumar,,1200
2024-06-17,Machine-M2,Preventive,,1.0,Belt tension adjustment and visual inspection,Priya Sharma,,850
2024-06-18,Machine-M3,Routine Check,,0.5,Fluid level check and filter inspection,Rajesh Kumar,,600
2024-06-18,Machine-M1,Breakdown,2024-06-18,6.5,Motor overheating and failure,Priya Sharma,Motor-220,18000
2024-06-19,Machine-M4,Preventive,,1.2,Electrical connections inspection and tightening,Rajesh Kumar,,950
2024-06-19,Machine-M5,Preventive,,0.8,Hydraulic system pressure check,Priya Sharma,,700
2024-06-20,Machine-M3,Preventive,,1.0,Gearbox oil level and condition check,Rajesh Kumar,,800
2024-06-20,Machine-M2,Routine Check,,0.75,Safety switch functionality test,Priya Sharma,,550
2024-06-21,Machine-M4,Breakdown,2024-06-21,5.0,Control panel malfunction,Rajesh Kumar,"Relay-05, Fuse-20A",12500
2024-06-21,Machine-M5,Routine Check,,0.6,Cooling system check,Priya Sharma,,650
2024-06-22,Machine-M1,Routine Check,,0.5,Visual inspection for leaks,Rajesh Kumar,,500
2024-06-22,Machine-M2,Preventive,,1.5,Checking pneumatic system,Priya Sharma,,1000
2024-06-23,Machine-M3,Routine Check,,0.5,Check for loose wiring,Rajesh Kumar,,600
2024-06-23,Machine-M1,Preventive,,1.0,Lubrication of moving parts,Priya Sharma,,800
2024-06-24,Machine-M4,Preventive,,1.5,Checking cooling system,Rajesh Kumar,,900
2024-06-24,Machine-M5,Breakdown,2024-06-24,7.0,Pump Failure,Priya Sharma,Pump-300,22000
2024-06-25,Machine-M3,Routine Check,,0.75,Checking for vibrations,Rajesh Kumar,,700
2024-06-25,Machine-M2,Breakdown,2024-06-25,4.0,Belt slippage,Priya Sharma,Belt-B3,6500
2024-06-26,Machine-M1,Preventive,,2.0,Complete checkup after motor replacement,Rajesh Kumar,,1500
2024-06-26,Machine-M4,Routine Check,,0.5,Checking sensor readings,Priya Sharma,,550
2024-06-27,Machine-M5,Preventive,,1.0,Hydraulic line inspection,Rajesh Kumar,,800
2024-06-27,Machine-M3,Breakdown,2024-06-27,3.0,Overload shutdown,Priya Sharma,Fuse-30A,4000
2024-06-28,Machine-M1,Routine Check,,0.75,Checking safety mechanisms,Rajesh Kumar,,650
2024-06-28,Machine-M2,Preventive,,1.0,Checking motor condition,Priya Sharma,,750
2024-06-29,Machine-M4,Routine Check,,0.6,Checking conveyor belt,Rajesh Kumar,,600
2024-06-29,Machine-M5,Preventive,,1.5,Checking pressure valve,Priya Sharma,,900
2024-06-30,Machine-M3,Preventive,,1.0,Checking power supply,Rajesh Kumar,,850
2024-06-30,Machine-M1,Breakdown,2024-06-30,4.5,Bearing failure,Priya Sharma,Bearing-101,7000
2024-06-18,Machine-M5,Routine Check,,0.6,Checking for vibrations,Rajesh Kumar,,600
2024-07-01,Machine-M1,Breakdown,2024-07-01,6.5,Bearing failure on main drive shaft,Rajesh Kumar,"Bearing-101, Seal-22",22500
2024-07-02,Machine-M2,Preventive,,1.5,Scheduled lubrication and inspection,Priya Sharma,,750
2024-07-03,Machine-M3,Routine Check,,0.5,Visual inspection of all components,Rajesh Kumar,,500
2024-07-04,Machine-M4,Preventive,,1.0,Checking and tightening of belts and chains,Priya Sharma,,600
2024-07-05,Machine-M5,Routine Check,,0.75,Checking and adjusting sensors,Rajesh Kumar,,550
2024-07-06,Machine-M1,Preventive,,2.0,Full system check and cleaning,Priya Sharma,Filter-A1,1200
2024-07-07,Machine-M3,Breakdown,2024-07-07,4.0,Motor overheating and shutdown,Rajesh Kumar,"Motor-345, Relay-12",18000
2024-07-08,Machine-M4,Routine Check,,0.5,Checking wiring and connections,Priya Sharma,,520
2024-07-09,Machine-M5,Preventive,,1.5,Hydraulic system check and top-up,Rajesh Kumar,Hydraulic-Fluid,800
2024-07-10,Machine-M2,Repair,,3.0,Minor issue with the conveyor belt,Priya Sharma,Belt-Repair-Kit,3500
2024-07-11,Machine-M1,Routine Check,,0.75,Post-repair check and calibration,Rajesh Kumar,,580
2024-07-12,Machine-M3,Preventive,,2.0,Motor inspection and cleaning after overheat,Priya Sharma,,1500
2024-07-13,Machine-M1,Breakdown,2024-07-13,7.0,Complete electrical failure,Rajesh Kumar,"Power-Supply-1, Fuse-Box",35000
2024-07-14,Machine-M4,Breakdown,2024-07-14,5.5,Hydraulic pump failure,Priya Sharma,Pump-42,28000
2024-07-15,Machine-M5,Routine Check,,0.75,Check for loose connections,Rajesh Kumar,,600
2024-07-16,Machine-M2,Preventive,,1.0,Checking safety guards and switches,Priya Sharma,,700
2024-07-17,Machine-M3,Routine Check,,0.5,Checking cooling system operation,Rajesh Kumar,,530
2024-07-18,Machine-M1,Preventive,,1.5,Replace worn belts,Priya Sharma,"Belt-B1, Belt-B2",2200
2024-07-19,Machine-M5,Breakdown,2024-07-19,3.0,Sensor malfunction,Rajesh Kumar,Sensor-001,6500
2024-07-20,Machine-M4,Preventive,,1.25,Checking hoses and connections,Priya Sharma,,900
2024-07-20,Machine-M1,Preventive,,1.0,Scheduled lubrication and inspection,Rajesh Kumar,,800
2024-07-21,Machine-M2,Preventive,,1.5,Filter replacement and alignment check,Priya Sharma,Filter-202,1200
2024-07-22,Machine-M3,Routine Check,,0.5,Visual inspection and sensor calibration,Rajesh Kumar,,500
2024-07-22,Machine-M1,Breakdown,2024-07-22,6.0,Bearing failure in main drive shaft,Priya Sharma,"Bearing-101, Seal-303",15000
2024-07-23,Machine-M4,Routine Check,,0.5,Electrical wiring check,Priya Sharma,,500
2024-07-23,Machine-M5,Routine Check,,0.5,Pressure sensor test,Rajesh Kumar,,500
2024-07-24,Machine-M2,Routine Check,,0.5,Lubrication of moving parts,Rajesh Kumar,,500
2024-07-24,Machine-M1,Repair,,2.0,Replacement of damaged wiring,Priya Sharma,"Wire-12, Connector-5",3000
2024-07-25,Machine-M3,Preventive,,1.0,Motor brushes replacement,Priya Sharma,Brushes-M3,1500
2024-07-25,Machine-M2,Breakdown,2024-07-25,4.0,Cooling fan malfunction causing overheating,Rajesh Kumar,Fan-22,8000
2024-07-26,Machine-M4,Preventive,,1.0,Belt tension adjustment,Rajesh Kumar,,750
2024-07-26,Machine-M5,Preventive,,1.5,Sensor cleaning and calibration,Priya Sharma,,1000
2024-07-27,Machine-M1,Preventive,,2.0,Vibration analysis and adjustment,Rajesh Kumar,,1800
2024-07-27,Machine-M3,Breakdown,2024-07-27,3.5,Gearbox failure,Priya Sharma,"Gear-32, Seal-44",12000
2024-07-28,Machine-M4,Routine Check,,0.5,Hydraulic oil level check,Priya Sharma,,500
2024-07-28,Machine-M5,Routine Check,,0.5,Coolant level check,Rajesh Kumar,,500
2024-07-29,Machine-M1,Routine Check,,0.5,Checking the alignment,Rajesh Kumar,,500
2024-07-29,Machine-M2,Preventive,,1.5,Electrical connection check and tightening,Priya Sharma,Connector-1,1250
2024-07-30,Machine-M3,Preventive,,2.0,Gearbox oil change,Rajesh Kumar,Oil-G5,2000
2024-07-30,Machine-M4,Breakdown,2024-07-30,7.5,Pump failure,Priya Sharma,Pump-45,18000
2024-07-31,Machine-M5,Breakdown,2024-07-31,8.0,Motor failure,Rajesh Kumar,Motor-A6,20000
2024-08-01,Machine-M1,Breakdown,2024-08-01,5.0,Control panel malfunction,Priya Sharma,Circuit-B1,9500
2024-08-01,Machine-M4,Preventive,,1.75,Check for leakages and lubrication,Rajesh Kumar,,900
2024-08-02,Machine-M2,Repair,,2.0,Replacing faulty capacitor,Rajesh Kumar,Capacitor-C3,3500
2024-08-02,Machine-M5,Preventive,,1.5,Changing filters and inspecting components,Priya Sharma,Filter-X2,1200
2024-08-03,Machine-M3,Routine Check,,0.5,Checking pressure and temperature readings,Priya Sharma,,500
2024-08-03,Machine-M1,Preventive,,1.25,Greasing bearings and inspecting shaft,Rajesh Kumar,Grease-G2,850
2024-08-04,Machine-M2,Breakdown,2024-08-04,6.0,Broken belt causing downtime,Priya Sharma,Belt-B7,11000
2024-08-05,Machine-M3,Routine Check,,0.5,Check for loose screws and bolts,Rajesh Kumar,,500
2024-08-05,Machine-M5,Preventive,,1.0,Changing the air filter,Priya Sharma,Filter-A3,700
2024-08-05,Machine-M1,Breakdown,2024-08-05,6.5,Hydraulic pump failure,Rajesh Kumar,"Pump-HP3, Seal-S12",35000
2024-08-05,Machine-M3,Preventive,,1.5,Scheduled lubrication and filter check,Priya Sharma,"Oil-10L, Filter-A2",1200
2024-08-06,Machine-M2,Breakdown,2024-08-06,7.2,Motor overheating and failure,Rajesh Kumar,"Motor-M20, Cooling-Fan",42000
2024-08-06,Machine-M4,Routine Check,,1.0,Visual inspection and belt tension adjustment,Priya Sharma,,500
2024-08-07,Machine-M1,Preventive,,2.0,Inspection of hydraulic system and hose replacement,Rajesh Kumar,"Hose-HY12, Seal-S2",2800
2024-08-07,Machine-M5,Routine Check,,0.5,Checking safety switches and sensors,Priya Sharma,,600
2024-08-08,Machine-M3,Repair,,3.0,"Control panel malfunction, replaced faulty relay",Rajesh Kumar,Relay-R15,7500
2024-08-08,Machine-M2,Preventive,,1.8,Motor winding insulation test and cleaning,Priya Sharma,,1500
2024-08-09,Machine-M1,Breakdown,2024-08-09,5.5,Bearing failure in gearbox,Rajesh Kumar,"Bearing-GB2, Seal-GB1",28000
2024-08-09,Machine-M4,Preventive,,1.2,Checking and tightening all fasteners,Priya Sharma,,800
2024-08-10,Machine-M5,Breakdown,2024-08-10,4.8,Electrical short circuit in power supply,Rajesh Kumar,"PowerSupply-PS3, Fuse-20A",18000
2024-08-10,Machine-M3,Routine Check,,0.75,Checking and cleaning sensors,Priya Sharma,,700
2024-08-11,Machine-M1,Preventive,,1.5,Gearbox oil change,Rajesh Kumar,"Oil-GB10L, Filter-GBF1",1800
2024-08-11,Machine-M2,Routine Check,,0.8,Checking for leaks and unusual noises,Priya Sharma,,550
2024-08-12,Machine-M4,Breakdown,2024-08-12,3.5,Conveyor belt slippage and damage,Rajesh Kumar,"Belt-CNV4, Roller-12",12000
2024-08-12,Machine-M5,Preventive,,1.0,Check electrical panel,Priya Sharma,,1000
2024-08-13,Machine-M1,Repair,,4.0,Replaced faulty sensor,Rajesh Kumar,Sensor-S101,9000
2024-08-13,Machine-M3,Preventive,,0.75,Tighten belts.,Priya Sharma,,600
2024-08-14,Machine-M2,Breakdown,2024-08-14,5.8,Shaft misalignment,Rajesh Kumar,Shaft-789,23000
2024-08-14,Machine-M4,Routine Check,,1.0,Lubrication.,Priya Sharma,Grease,800
2026-01-19,Machine-M1,Breakdown,2026-01-19,1.1,Control system failure,Rajesh Kumar,"CPU-22, Cable-10",12000
2025-11-15,Machine-M3,Preventive,,1.5,Scheduled lubrication,Priya Sharma,None,750
2026-02-06,Machine-M1,Breakdown,2026-02-06,1.0,Hydraulic pump malfunction,Rajesh Kumar,Pump-H22,18000
2026-03-10,Machine-M1,Preventive,,1.0,Belt tension adjustment,Priya Sharma,None,600
2025-12-01,Machine-M4,Routine Check,,0.5,Visual inspection and cleaning,Rajesh Kumar,None,500
2026-02-12,Machine-M1,Breakdown,2026-02-12,1.1,Bearing failure,Priya Sharma,Bearing-101,8000
2025-11-22,Machine-M5,Routine Check,,0.5,Electrical connections check,Rajesh Kumar,None,500
2026-03-25,Machine-M3,Repair,,3.0,Gearbox repair,Priya Sharma,"Gear-22, Seal-11",15000
2025-11-05,Machine-M2,Preventive,,1.0,Filter replacement,Rajesh Kumar,Filter-A3,1200
2026-04-10,Machine-M4,Breakdown,2026-04-10,2.5,Motor overheating,Priya Sharma,Motor-1HP,22000
2026-05-01,Machine-M2,Preventive,,1.5,Chain lubrication and adjustment,Rajesh Kumar,None,800
2025-10-30,Machine-M1,Routine Check,,0.75,Fluid level check,Priya Sharma,None,550
2026-06-05,Machine-M5,Repair,,4.0,Conveyor belt replacement,Rajesh Kumar,Belt-Conv-200,25000
2026-07-12,Machine-M1,Preventive,,1.0,Sensor Calibration,Rajesh Kumar,None,700
2025-12-20,Machine-M2,Breakdown,2025-12-20,6.0,Electrical Panel Fire,Priya Sharma,"Wiring, Breaker",40000
2026-08-15,Machine-M3,Breakdown,2026-08-15,7.0,Broken Chain,Rajesh Kumar,"Chain, Sprocket",35000
2026-05-20,Machine-M5,Preventive,,1.0,Filter Replacement,Priya Sharma,Filter,1000
2025-11-10,Machine-M3,Breakdown,2025-11-10,8.0,Broken Gear,Rajesh Kumar,Gear,50000
2026-09-01,Machine-M2,Preventive,,2.0,Bearing Check,Priya Sharma,None,1500
2026-04-20,Machine-M4,Routine Check,,0.5,General Check,Rajesh Kumar,None,500
2026-06-10,Machine-M1,Routine Check,,1.0,Coolant Check,Priya Sharma,None,600
2026-07-01,Machine-M2,Routine Check,,1.0,Pressure Check,Rajesh Kumar,None,500
2025-12-10,Machine-M3,Routine Check,,0.75,Visual Inspection,Priya Sharma,None,500
2026-03-01,Machine-M4,Preventive,,1.5,Lubrication,Rajesh Kumar,None,650
2026-04-01,Machine-M5,Routine Check,,0.5,Level Check,Priya Sharma,None,500
2026-09-20,Machine-M1,Repair,,2.0,Replaced Fuse,Rajesh Kumar,Fuse-10,5000
2026-10-01,Machine-M3,Preventive,,1.0,Alignment,Priya Sharma,None,750
2026-10-10,Machine-M5,Preventive,,1.25,Cable check,Rajesh Kumar,None,800
2026-09-15,Machine-M4,Preventive,,1.75,Inspection,Priya Sharma,None,900
2026-08-20,Machine-M2,Preventive,,0.5,Adjustment,Rajesh Kumar,None,1000
2025-11-05,Machine-M1,Preventive,,1.5,Scheduled lubrication,Rajesh Kumar,None,750
2025-11-15,Machine-M3,Breakdown,2025-11-15,4.5,Bearing failure,Priya Sharma,Bearing-101,12000
2025-11-25,Machine-M2,Routine Check,,1.0,Visual inspection and tightening of connections,Rajesh Kumar,None,600
2025-12-05,Machine-M1,Breakdown,2025-12-05,6.0,Motor overheating,Priya Sharma,"Motor-202, Cooling-Fan",25000
2025-12-15,Machine-M4,Preventive,,1.0,Filter replacement,Rajesh Kumar,Filter-A3,800
2025-12-28,Machine-M2,Repair,,2.0,Minor belt slippage,Priya Sharma,Belt-B2,3500
2026-01-08,Machine-M3,Preventive,,1.5,Checking and adjusting alignment,Rajesh Kumar,None,900
2026-01-20,Machine-M1,Routine Check,,1.0,Checking for leaks and vibrations,Priya Sharma,None,550
2026-01-30,Machine-M4,Breakdown,2026-01-30,5.0,Hydraulic pump failure,Rajesh Kumar,Pump-H1,18000
2026-02-08,Machine-M5,Routine Check,,0.5,Sensor Calibration,Priya Sharma,None,500
2026-02-15,Machine-M1,Repair,,3.0,Gearbox malfunction,Rajesh Kumar,"Gear-G4, Oil-Seal",15000
2026-02-25,Machine-M3,Routine Check,,1.0,Checking control panel,Priya Sharma,None,600
2026-03-05,Machine-M4,Preventive,,1.5,Greasing moving parts,Rajesh Kumar,None,700
2026-03-15,Machine-M2,Routine Check,,1.0,Safety switch inspection,Priya Sharma,None,550
2026-03-25,Machine-M1,Preventive,,2.0,Detailed electrical checkup,Rajesh Kumar,Wire-12A,1200
2026-04-15,Machine-M5,Preventive,,1.0,Changing air filter,Priya Sharma,AirFilter-01,900
2026-05-01,Machine-M3,Repair,,2.0,Minor weld repair on frame,Rajesh Kumar,Welding Rods,4000
2026-06-10,Machine-M4,Routine Check,,0.5,Checking pressure gauges,Priya Sharma,None,500
2026-07-15,Machine-M1,Preventive,,1.5,Checking and tightening bolts,Rajesh Kumar,Bolt-M8,800
2026-08-20,Machine-M2,Routine Check,,1.0,Checking for unusual noises,Priya Sharma,None,550
