Date,Material_Code,Material_Name,Opening_Stock_Kg,Consumption_Kg,Received_Kg,Closing_Stock_Kg,Wastage_Kg,Supplier,Unit_Cost_Rupees
2024-01-09,Rubber-RB,Synthetic Rubber Roll,1300,250,0,1050,7,Local Vendor,150.0
2024-01-10,Copper-CU,Copper Wire,850,200,0,650,4,Supplier-A,400.0
2024-01-11,Steel-101,Steel Sheet 101,3300,1000,2000,4300,30,Supplier-A,250.0
2024-01-12,Plastic-PVC,PVC Granules,1900,700,1000,2200,20,Supplier-B,80.0
2024-01-13,Aluminum-AL,Aluminum Ingot,1300,500,1500,2300,12,Supplier-C,300.0
2024-01-14,Rubber-RB,Synthetic Rubber Roll,1050,300,1000,1750,8,Local Vendor,150.0
2024-01-15,Copper-CU,Copper Wire,650,250,1000,1400,5,Supplier-A,400.0
2024-01-16,Steel-101,Steel Sheet 101,4300,700,0,3600,20,Supplier-A,250.0
2024-01-17,Plastic-PVC,PVC Granules,2200,400,0,1800,10,Supplier-B,80.0
2024-01-18,Aluminum-AL,Aluminum Ingot,2300,350,0,1950,9,Supplier-C,300.0
2024-01-19,Rubber-RB,Synthetic Rubber Roll,1750,220,0,1530,6,Local Vendor,150.0
2024-01-20,Copper-CU,Copper Wire,1400,180,0,1220,4,Supplier-A,400.0
2024-01-21,Steel-101,Steel Sheet 101,3600,850,0,2750,22,Supplier-A,250.0
2024-01-22,Plastic-PVC,PVC Granules,1800,550,0,1250,16,Supplier-B,80.0
2024-01-23,Aluminum-AL,Aluminum Ingot,1950,450,0,1500,11,Supplier-C,300.0
2024-01-24,Rubber-RB,Synthetic Rubber Roll,1530,280,0,1250,7,Local Vendor,150.0
2024-01-25,Copper-CU,Copper Wire,1220,220,0,1000,4,Supplier-A,400.0
2024-01-26,Steel-101,Steel Sheet 101,2750,950,3000,4800,28,Supplier-A,250.0
2024-01-27,Plastic-PVC,PVC Granules,1250,650,2000,2600,19,Supplier-B,80.0
2024-01-28,Aluminum-AL,Aluminum Ingot,1500,550,2500,3450,14,Supplier-C,300.0
2024-01-29,Rubber-RB,Synthetic Rubber Roll,1250,350,2000,2900,9,Local Vendor,150.0
2024-01-30,Copper-CU,Copper Wire,1000,280,2000,2720,6,Supplier-A,400.0
2024-02-01,Steel-101,Steel Sheet 101,4800,1100,0,3700,33,Supplier-A,250.0
2024-02-02,Plastic-PVC,PVC Granules,2600,750,0,1850,22,Supplier-B,80.0
2024-02-03,Aluminum-AL,Aluminum Ingot,3450,650,0,2800,16,Supplier-C,300.0
2024-02-04,Rubber-RB,Synthetic Rubber Roll,2900,450,0,2450,11,Local Vendor,150.0
2024-02-05,Copper-CU,Copper Wire,2720,350,0,2370,7,Supplier-A,400.0
2024-02-06,Steel-101,Steel Sheet 101,3700,900,0,2800,27,Supplier-A,250.0
2024-02-07,Plastic-PVC,PVC Granules,1850,500,0,1350,15,Supplier-B,80.0
2024-02-08,Aluminum-AL,Aluminum Ingot,2800,400,0,2400,10,Supplier-C,300.0
2024-02-09,Rubber-RB,Synthetic Rubber Roll,2450,300,0,2150,7,Local Vendor,150.0
2024-02-10,Copper-CU,Copper Wire,2370,250,0,2120,5,Supplier-A,400.0
2024-02-11,Steel-101,Steel Sheet 101,2800,1000,2000,3800,30,Supplier-A,250.0
2024-02-12,Plastic-PVC,PVC Granules,1350,600,1000,1750,18,Supplier-B,80.0
2024-02-13,Aluminum-AL,Aluminum Ingot,2400,500,1500,3400,12,Supplier-C,300.0
2024-02-14,Rubber-RB,Synthetic Rubber Roll,2150,350,1000,2800,9,Local Vendor,150.0
2024-02-15,Copper-CU,Copper Wire,2120,300,1000,2820,6,Supplier-A,400.0
2024-02-16,Steel-101,Steel Sheet 101,3800,800,0,3000,24,Supplier-A,250.0
2024-02-17,Plastic-PVC,PVC Granules,1750,400,0,1350,12,Supplier-B,80.0
2024-02-18,Aluminum-AL,Aluminum Ingot,3400,350,0,3050,9,Supplier-C,300.0
2024-02-19,Rubber-RB,Synthetic Rubber Roll,2800,220,0,2580,6,Local Vendor,150.0
2024-02-20,Copper-CU,Copper Wire,2820,180,0,2640,4,Supplier-A,400.0
2024-01-01,Steel-101,Steel Sheet 101,5000,800,0,4200,40,Supplier-A,250.0
2024-01-01,Plastic-PVC,PVC Granules,3000,500,0,2500,15,Supplier-B,80.5
2024-01-01,Aluminum-AL,Aluminum Ingot,2000,300,0,1700,6,Supplier-C,300.75
2024-01-01,Rubber-RB,Synthetic Rubber Roll,1500,200,0,1300,8,Local Vendor,150.2
2024-01-01,Copper-CU,Copper Wire,1000,150,0,850,3,Supplier-A,450.9
2024-01-08,Steel-101,Steel Sheet 101,4200,900,2000,5300,45,Supplier-A,250.0
2024-01-08,Plastic-PVC,PVC Granules,2500,600,1000,2900,20,Supplier-B,80.5
2024-01-08,Aluminum-AL,Aluminum Ingot,1700,400,1500,2800,8,Supplier-C,300.75
2024-01-08,Rubber-RB,Synthetic Rubber Roll,1300,300,500,1500,10,Local Vendor,150.2
2024-01-08,Copper-CU,Copper Wire,850,200,1000,1650,4,Supplier-A,450.9
2024-01-15,Steel-101,Steel Sheet 101,5300,700,0,4600,35,Supplier-A,250.0
2024-01-15,Plastic-PVC,PVC Granules,2900,450,0,2450,14,Supplier-B,80.5
2024-01-15,Aluminum-AL,Aluminum Ingot,2800,350,0,2450,7,Supplier-C,300.75
2024-01-15,Rubber-RB,Synthetic Rubber Roll,1500,250,0,1250,9,Local Vendor,150.2
2024-01-15,Copper-CU,Copper Wire,1650,180,0,1470,4,Supplier-A,450.9
2024-01-22,Steel-101,Steel Sheet 101,4600,850,0,3750,43,Supplier-A,250.0
2024-01-22,Plastic-PVC,PVC Granules,2450,550,2000,3900,18,Supplier-B,80.5
2024-01-22,Aluminum-AL,Aluminum Ingot,2450,380,0,2070,7,Supplier-C,300.75
2024-01-22,Rubber-RB,Synthetic Rubber Roll,1250,270,0,980,11,Local Vendor,150.2
2024-01-22,Copper-CU,Copper Wire,1470,220,0,1250,5,Supplier-A,450.9
2024-01-29,Steel-101,Steel Sheet 101,3750,950,3000,5800,48,Supplier-A,250.0
2024-01-29,Plastic-PVC,PVC Granules,3900,400,0,3500,12,Supplier-B,80.5
2024-01-29,Aluminum-AL,Aluminum Ingot,2070,420,2500,4150,9,Supplier-C,300.75
2024-01-29,Rubber-RB,Synthetic Rubber Roll,980,320,2000,2660,13,Local Vendor,150.2
2024-01-29,Copper-CU,Copper Wire,1250,250,0,1000,6,Supplier-A,450.9
2024-02-05,Steel-101,Steel Sheet 101,5800,750,0,5050,38,Supplier-A,250.0
2024-02-05,Plastic-PVC,PVC Granules,3500,480,0,3020,16,Supplier-B,80.5
2024-02-05,Aluminum-AL,Aluminum Ingot,4150,390,0,3760,8,Supplier-C,300.75
2024-02-05,Rubber-RB,Synthetic Rubber Roll,2660,290,0,2370,12,Local Vendor,150.2
2024-02-05,Copper-CU,Copper Wire,1000,190,3000,3810,4,Supplier-A,450.9
2024-02-12,Steel-101,Steel Sheet 101,5050,880,0,4170,44,Supplier-A,250.0
2024-02-12,Plastic-PVC,PVC Granules,3020,520,0,2500,17,Supplier-B,80.5
2024-02-12,Aluminum-AL,Aluminum Ingot,3760,410,0,3350,8,Supplier-C,300.75
2024-02-12,Rubber-RB,Synthetic Rubber Roll,2370,310,0,2060,12,Local Vendor,150.2
2024-02-12,Copper-CU,Copper Wire,3810,210,0,3600,5,Supplier-A,450.9
2024-02-19,Steel-101,Steel Sheet 101,4170,920,4000,7250,46,Supplier-A,250.0
2024-02-19,Plastic-PVC,PVC Granules,2500,650,3000,4850,22,Supplier-B,80.5
2024-02-19,Aluminum-AL,Aluminum Ingot,3350,450,0,2900,9,Supplier-C,300.75
2024-02-19,Rubber-RB,Synthetic Rubber Roll,2060,330,0,1730,13,Local Vendor,150.2
2024-02-19,Copper-CU,Copper Wire,3600,230,0,3370,5,Supplier-A,450.9
2024-02-26,Steel-101,Steel Sheet 101,7250,1000,0,6250,50,Supplier-A,250.0
2024-02-26,Plastic-PVC,PVC Granules,4850,700,0,4150,24,Supplier-B,80.5
2024-02-26,Aluminum-AL,Aluminum Ingot,2900,500,4000,6400,10,Supplier-C,300.75
2024-02-26,Rubber-RB,Synthetic Rubber Roll,1730,350,3000,4380,14,Local Vendor,150.2
2024-02-26,Copper-CU,Copper Wire,3370,240,0,3130,6,Supplier-A,450.9
2024-03-04,Steel-101,Steel Sheet 101,6250,780,0,5470,39,Supplier-A,250.0
2024-03-04,Plastic-PVC,PVC Granules,4150,530,0,3620,18,Supplier-B,80.5
2024-03-04,Aluminum-AL,Aluminum Ingot,6400,430,0,5970,9,Supplier-C,300.75
2024-03-04,Rubber-RB,Synthetic Rubber Roll,4380,370,0,4010,15,Local Vendor,150.2
2024-03-04,Copper-CU,Copper Wire,3130,260,0,2870,6,Supplier-A,450.9
2024-01-01,Steel-101,Steel Sheet 101,5000,800,0,4200,25,Supplier-A,250.0
2024-01-01,Plastic-PVC,PVC Granules,8000,500,0,7500,15,Supplier-B,80.0
2024-01-02,Aluminum-AL,Aluminum Ingot,3000,300,0,2700,10,Supplier-C,180.0
2024-01-02,Rubber-RB,Synthetic Rubber,6000,400,0,5600,20,Local Vendor,120.0
2024-01-03,Copper-CU,Copper Wire,2500,200,0,2300,5,Supplier-A,350.0
2024-01-03,Steel-101,Steel Sheet 101,4200,750,0,3450,23,Supplier-A,250.0
2024-01-04,Plastic-PVC,PVC Granules,7500,480,0,7020,14,Supplier-B,80.0
2024-01-04,Aluminum-AL,Aluminum Ingot,2700,280,0,2420,9,Supplier-C,180.0
2024-01-05,Rubber-RB,Synthetic Rubber,5600,380,0,5220,19,Local Vendor,120.0
2024-01-05,Copper-CU,Copper Wire,2300,190,0,2110,5,Supplier-A,350.0
2024-01-06,Steel-101,Steel Sheet 101,3450,700,2000,4750,22,Supplier-A,250.0
2024-01-06,Plastic-PVC,PVC Granules,7020,450,0,6570,13,Supplier-B,80.0
2024-01-07,Aluminum-AL,Aluminum Ingot,2420,250,0,2170,8,Supplier-C,180.0
2024-01-07,Rubber-RB,Synthetic Rubber,5220,350,0,4870,18,Local Vendor,120.0
2024-01-08,Copper-CU,Copper Wire,2110,180,0,1930,4,Supplier-A,350.0
2024-01-08,Steel-101,Steel Sheet 101,4750,720,0,4030,22,Supplier-A,250.0
2024-01-09,Plastic-PVC,PVC Granules,6570,430,0,6140,12,Supplier-B,80.0
2024-01-09,Aluminum-AL,Aluminum Ingot,2170,230,0,1940,7,Supplier-C,180.0
2024-01-10,Rubber-RB,Synthetic Rubber,4870,330,0,4540,17,Local Vendor,120.0
2024-01-10,Copper-CU,Copper Wire,1930,170,0,1760,4,Supplier-A,350.0
2024-01-11,Steel-101,Steel Sheet 101,4030,700,0,3330,21,Supplier-A,250.0
2024-01-11,Plastic-PVC,PVC Granules,6140,400,3000,8740,12,Supplier-B,80.0
2024-01-12,Aluminum-AL,Aluminum Ingot,1940,200,3000,4740,6,Supplier-C,180.0
2024-01-12,Rubber-RB,Synthetic Rubber,4540,300,0,4240,15,Local Vendor,120.0
2024-01-13,Copper-CU,Copper Wire,1760,160,2000,3600,4,Supplier-A,350.0
2024-01-13,Steel-101,Steel Sheet 101,3330,680,0,2650,20,Supplier-A,250.0
2024-01-14,Plastic-PVC,PVC Granules,8740,380,0,8360,11,Supplier-B,80.0
2024-01-14,Aluminum-AL,Aluminum Ingot,4740,180,0,4560,5,Supplier-C,180.0
2024-01-15,Rubber-RB,Synthetic Rubber,4240,280,0,3960,14,Local Vendor,120.0
2024-01-15,Copper-CU,Copper Wire,3600,150,0,3450,3,Supplier-A,350.0
2024-01-16,Steel-101,Steel Sheet 101,2650,650,3000,5000,19,Supplier-A,250.0
2024-01-16,Plastic-PVC,PVC Granules,8360,350,0,8010,10,Supplier-B,80.0
2024-01-17,Aluminum-AL,Aluminum Ingot,4560,170,0,4390,5,Supplier-C,180.0
2024-01-17,Rubber-RB,Synthetic Rubber,3960,260,0,3700,13,Local Vendor,120.0
2024-01-18,Copper-CU,Copper Wire,3450,140,0,3310,3,Supplier-A,350.0
2024-01-18,Steel-101,Steel Sheet 101,5000,630,0,4370,18,Supplier-A,250.0
2024-01-19,Plastic-PVC,PVC Granules,8010,330,0,7680,10,Supplier-B,80.0
2024-01-19,Aluminum-AL,Aluminum Ingot,4390,160,0,4230,5,Supplier-C,180.0
2024-01-20,Rubber-RB,Synthetic Rubber,3700,250,4000,7450,12,Local Vendor,120.0
2024-01-20,Copper-CU,Copper Wire,3310,130,0,3180,3,Supplier-A,350.0
2024-01-21,Steel-101,Steel Sheet 101,4370,600,0,3770,18,Supplier-A,250.0
2024-01-21,Plastic-PVC,PVC Granules,7680,300,0,7380,9,Supplier-B,80.0
2024-01-22,Aluminum-AL,Aluminum Ingot,4230,150,0,4080,4,Supplier-C,180.0
2024-01-22,Rubber-RB,Synthetic Rubber,7450,240,0,7210,12,Local Vendor,120.0
2024-01-23,Copper-CU,Copper Wire,3180,120,0,3060,3,Supplier-A,350.0
2024-01-23,Steel-101,Steel Sheet 101,3770,580,0,3190,17,Supplier-A,250.0
2024-01-24,Plastic-PVC,PVC Granules,7380,280,0,7100,8,Supplier-B,80.0
2024-01-24,Aluminum-AL,Aluminum Ingot,4080,140,0,3940,4,Supplier-C,180.0
2024-01-01,Steel-101,Steel Sheet 101,5000,800,0,4200,20,Supplier-A,250.5
2024-01-01,Plastic-PVC,PVC Granules,3000,500,1000,3500,15,Supplier-B,85.75
2024-01-02,Aluminum-AL,Aluminum Ingots,8000,1200,0,6800,30,Supplier-C,350.0
2024-01-02,Rubber-RB,Synthetic Rubber,2500,300,0,2200,8,Local Vendor,120.25
2024-01-03,Copper-CU,Copper Wire,4000,600,5000,8400,10,Supplier-A,480.9
2024-01-03,Steel-101,Steel Sheet 101,4200,700,0,3500,18,Supplier-A,250.5
2024-01-04,Plastic-PVC,PVC Granules,3500,450,0,3050,14,Supplier-B,85.75
2024-01-04,Aluminum-AL,Aluminum Ingots,6800,1100,2000,7700,28,Supplier-C,350.0
2024-01-05,Rubber-RB,Synthetic Rubber,2200,280,0,1920,7,Local Vendor,120.25
2024-01-05,Copper-CU,Copper Wire,8400,550,0,7850,9,Supplier-A,480.9
2024-01-06,Steel-101,Steel Sheet 101,3500,900,3000,5600,23,Supplier-A,250.5
2024-01-06,Plastic-PVC,PVC Granules,3050,400,0,2650,12,Supplier-B,85.75
2024-01-07,Aluminum-AL,Aluminum Ingots,7700,1300,0,6400,33,Supplier-C,350.0
2024-01-07,Rubber-RB,Synthetic Rubber,1920,320,1000,2600,9,Local Vendor,120.25
2024-01-08,Copper-CU,Copper Wire,7850,700,0,7150,11,Supplier-A,480.9
2024-01-08,Steel-101,Steel Sheet 101,5600,750,0,4850,19,Supplier-A,250.5
2024-01-09,Plastic-PVC,PVC Granules,2650,550,2000,4100,17,Supplier-B,85.75
2024-01-09,Aluminum-AL,Aluminum Ingots,6400,1000,0,5400,25,Supplier-C,350.0
2024-01-10,Rubber-RB,Synthetic Rubber,2600,250,0,2350,6,Local Vendor,120.25
2024-01-10,Copper-CU,Copper Wire,7150,650,0,6500,10,Supplier-A,480.9
2024-01-11,Steel-101,Steel Sheet 101,4850,850,0,4000,21,Supplier-A,250.5
2024-01-11,Plastic-PVC,PVC Granules,4100,500,0,3600,15,Supplier-B,85.75
2024-01-12,Aluminum-AL,Aluminum Ingots,5400,900,3000,7500,23,Supplier-C,350.0
2024-01-12,Rubber-RB,Synthetic Rubber,2350,270,0,2080,7,Local Vendor,120.25
2024-01-13,Copper-CU,Copper Wire,6500,600,0,5900,9,Supplier-A,480.9
2024-01-13,Steel-101,Steel Sheet 101,4000,1000,5000,8000,25,Supplier-A,250.5
2024-01-14,Plastic-PVC,PVC Granules,3600,480,0,3120,14,Supplier-B,85.75
